judge_number,judge_date,transfer_agency,transfer_date,happened_date,who_report,misinformation_place,misinformation_issue,misinformation_content,penalty_or_not,administrative_fine,reason
臺灣高雄地方法院高雄簡易庭裁定107年度雄秩字第230號,2019/1/4,高雄市政府警察局苓雅分局,2018/12/19,2018/11/13,,臉書,政治人物謠言,注意了，注意了，高雄市政府突然採購9 台碎紙機！目的是什麼？市府公務人員請勇做吹哨者！,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺北地方法院裁定108年度北秩字第7號,2019/1/28,臺北市政府警察局松山分局,2019/4/8,2018/11/28,,臉書,批評執政者,援例護主有功，定有好處獎賞？又要作弊了，買台彩是傻瓜？中選會主委『陳應鈐』轉任台彩董事長…民進黨的負責任原來是更多的利頭,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣桃園地方法院裁定107年度桃秩字第168號,2019/1/30,桃園市政府警察局八德分局,2018/12/3,2018/12/1,,臉書,社會案件,傳送之106 年4 月中國廣東省汕頭市銀行強盜殺人案件影片，未詳加查證，即於臉書社團「記憶八德」發布「聽說發生在八德介壽路. . . 」,罰,3000元,
臺灣臺東地方法院簡易庭裁定108年度東秩字第3號,2019/1/31,臺東縣警察局臺東分局,2019/1/3,2018/12/30,,臉書,社會案件,聽說鯉魚山有分屍案餒？還在現場喔…,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣屏東地方法院裁定107年度秩抗字第2號,2019/2/25,抗告，107年度潮秩字第33號,,,,LINE,災害謠言,放假放到下個月1 號,抗告駁回,,
臺灣臺北地方法院裁定107年度北秩字第262號,2019/2/27,臺北市政府警察局大安分局,2018/12/6,2018/11/24,,臉書,選務謠言,剛剛連在台北市的大安區（仁愛國小）也有發生#年輕的選務人員故意不發#以核養綠的公投票...等,不罰,,難認定是故意散播不實事實
臺灣新北地方法院三重簡易庭裁定108年度重秩字第6號,2019/2/27,新北市政府警察局新莊分局,2019/1/2,2018/11/17,,臉書,選務謠言,轉貼可能性高的奧步：聽說票已經送出來了，要求公務人員幫忙放進票箱內部夾層。很多公務人員不肯。第二種是已經把不配合的監票人員換成民進黨的黨工,罰,3000元,將未經查證之不實謠言散佈於公眾，當足以引起恐慌
臺灣新北地方法院板橋簡易庭裁定107年度板秩字第280號,2019/2/27,內政部警政署高雄港務警察總隊,2018/12/21,2018/12/7,,臉書,災害謠言,高雄剛剛海邊港務大樓倒塌,罰,3000元,
臺灣新竹地方法院簡易庭裁定108年度竹秩字第5號,2019/3/18,苗栗縣警察局頭份分局,2019/1/24,2019/1/18,,臉書,社會案件,將黃柏元遭友人以吊車吊起，且燃放鞭炮之照片、影片及文章上傳至社群軟體臉書直播上，並謊稱該照片、影片為某虐童案之繼父，遭網民吊起以沖天砲轟私刑,罰,6000元,散佈謠言，足以影響公共之安寧
臺灣臺南地方法院新市簡易庭裁定108年度新秩字第13號,2019/3/18,臺南市政府警察局新化分局,2019/2/1,2018/12/25,,臉書,社會案件,你們線上的警察在裝不懂嗎？我們是跟你們宣戰哦。我們是要屠殺你們的，你們這種咖小也跟人出來混。真好笑。在現實被看不起，在臉書又被殺一次，真是壞狗命,不罰,,是評論非造謠、屬憲法保障言論自由範疇，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院三重簡易庭裁定108年度重秩字第31號,2019/4/1,新北市政府警察局三重分局,2019/3/7,2019/1/6,,臉書,施政謠言,豬市長、犯豬瘟、聽說桃園犯豬瘟還隱匿不報,罰,4000元,未為相當查證，輕率將「桃園犯豬瘟還隱匿不報」此與事實不符之資訊發布於臉書，違背一般人標準之注意義務，足認有過失
臺灣臺北地方法院裁定107年度店秩字第55號,2019/4/11,新北市政府警察局新店分局,,2018/11/28,,臉書,政治人物謠言,蔡英文：韓國瑜上任睡市場，全臺灣女人都會去報名睡覺,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣新北地方法院刑事裁定108年度重秩抗字第1號,2019/4/12,抗告，108年度重秩字第6號,,,,臉書,選務謠言,轉貼可能性高的奧步：聽說票已經送出來了，要求公務人員幫忙放進票箱內部夾層。很多公務人員不肯。第二種是已經把不配合的監票人員換成民進黨的黨工,抗告駁回,,
臺灣新竹地方法院簡易庭裁定108年度竹秩字第23號,2019/4/23,新竹市警察局第一分局,2019/4/12,2019/4/8,,臉書,其他,剛剛一架民航機往新竹機場降落…,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣雲林地方法院刑事裁定108年度虎秩字第7號,2019/5/6,雲林縣警察局西螺分局,2019/4/8,2019/4/7,,臉書,社會案件,女友遭4 位不詳男子以搭訕為由而強行拉扯,罰,3000元,
臺灣臺北地方法院裁定108年度北秩字第172號,2019/5/9,臺北市政府警察局信義分局,2019/5/6,2019/4/18,,LINE,災害謠言,未經查證拍攝臺北市信義區松仁路影像，稱松仁路馬路裂開等不實謠言,罰,3000元,將未經查證之不實謠言散佈於公眾，足以引起社會公眾觀注與不安
臺灣士林地方法院裁定108年度湖秩字第23號,2019/5/16,新北市政府警察局汐止分局,2019/5/3,2018/11/20,李復鄉(遭騷擾者),1999專線,其他,稱李復鄉「為獨居老人及罹患精神疾病」,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺南地方法院臺南簡易庭裁定108年度南秩字第56號,2019/5/31,臺南市政府警察局第四分局,2019/5/29,2019/2/3,,PTT,災害謠言,高雄前鎮興邦里爆發今年首例登革認疫情、本土感染第一例確診,罰,5000元,可能造成民眾以訛傳訛，在疫情尚未確認下產生不必要之恐慌，足以影響公共之安寧
臺灣高雄地方法院高雄簡易庭裁定108年度雄秩字第132號,2019/6/14,高雄市政府警察局三民第一分局,2019/5/27,2019/4/3,洪瑋廷(遭騷擾者),高雄市三民區成功補習班305室,社會案件,洪瑋廷在成功補習班毆打很多人,不罰,,難認定有憑空捏造不實事實
臺灣南投地方法院裁定108年度埔秩字第6號,2019/6/17,南投縣政府警察局仁愛分局,2019/5/10,2019/3/22,,臉書,施政謠言,獨雞蛋芬普尼標準將放寬100%就沒有毒雞蛋問題,不罰,,避免「一事兩罰」
臺灣臺中地方法院裁定108年度中秩字第54號,2019/6/17,臺中市政府警察局第六分局,2019/3/20,2019/1/27,民眾,臉書、YouTube,社會案件,當街鬥毆，逢甲娃娃機店，年輕人大亂鬥,罰,5000元,
臺灣士林地方法院普通庭裁定108年度秩抗字第2號,2019/6/18,抗告，107 年度湖秩字第60號,,,,臉書,災害相關,大家有看過流水席嗎？,抗告駁回,,
臺灣臺南地方法院柳營簡易庭裁定108年度營秩字第20號,2019/6/19,臺南市政府警察局學甲分局,2019/6/11,2019/5/1,,口述,其他,因為我之前是宅港里里長，因為學甲區流浪狗過多，就有3件因流浪狗造成人受傷，最後不了了之等等,不罰,,難認定有憑空捏造不實事實
臺灣桃園地方法院裁定108年度桃秩字第102號,2019/6/25,桃園市政府警察局大溪分局,2019/6/12,2019/5/12,,臉書,社會案件,現在的七乙怎麼了，夜跑也被砍，不知道誰家的屁孩被超車，不爽就攔下來砍…」、「砍完對方就走？？朋友小傷，路過的車友被砍到進醫院，重點來了，警察怕惹事不給車牌…,罰,3000元,散佈謠言，足以影響公共之安寧
臺灣臺中地方法院裁定108年度中秩字第99號,2019/6/26,臺中市政府警察局第四分局,2019/5/13,2019/4/18,,PTT,災害謠言,【「爆卦」馬路裂開了】之文章及一張照片（與上開標題合稱系爭言論）,不罰,,非故意散發傳布虛偽事實
臺灣臺中地方法院裁定108年度中秩字第88號,2019/7/19,臺中市政府警察局第三分局,2019/4/30,2019/3/12,行政執行署臺中分署署長郭棋湧,LINE,生活謠言,請傳給群組好友，因為金額不大，很多人單子拿著就到超商繳錢，單子是假的，但單子上匯款條碼確是真的，匯了就到別人口袋裡了！小心請不要上當,不罰,,難認定有憑空捏造不實事實
臺灣屏東地方法院裁定108年度潮秩字第27號,2019/7/24,屏東縣政府警察局恆春分局,2019/6/22,2018/9/17,民眾,網路電子報,災害謠言,據了解：屏東年底前還有一次大劫難,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院裁定108年度中秩字第130號,2019/7/26,臺中市政府警察局太平分局,2019/7/8,2019/7/6,,臉書,攻擊政治人物,「在高雄刺殺了一位韓粉」及內容為「我知道大家都很想這麼做，但我剛剛真的把一個韓粉刺殺到躺在血泊中不確定是否我會被通緝？」,罰,1000元,散佈謠言，足以影響公共安寧
臺灣基隆地方法院刑事裁定108年度基秩字第68號,2019/7/29,基隆市警察局第四分局,2019/7/22,2019/6/1,,臉書,災害謠言,怎麼？這次下雨都是綠獨縣市淹水,不罰,,警方未證明是謠言
臺灣新北地方法院三重簡易庭裁定108年度重秩字第101號,2019/7/31,新北市政府警察局蘆洲分局,2019/7/22,2019/7/18,,LINE,批評執政者,偉大的蔡英文到海地才四小時，就送45億。高雄滅登革熱要五千萬才給二千多萬！媽的！什麼蔡政府。,罰,3000元,散佈謠言，足以影響公共安寧
臺灣士林地方法院裁定108年度湖秩字第35號,2019/7/31,新北市政府警察局汐止分局,2019/7/2,2019/6/8,,口述,施政謠言,國一國三現在就開始教肛交教育、教保險套、國中在教可以自己變性動手術、高三教多元多P的同志教育,不罰,,難認定有憑空捏造不實事實
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第197號,2019/8/1,新北市政府警察局海山分局,2019/7/16,2019/7/7,,臉書,批評執政者,散布行政院長於參加公祭時摔筆等不實謠言,罰,1000元,
臺灣臺中地方法院裁定108年度豐秩字第40號,2019/8/7,中市政府警察局東勢分局,2019/7/22,2019/6/19,,LINE,社會案件,昨晚發生在東勢山城之音ktv砍人影片,罰,2000元,
臺灣高雄地方法院鳳山簡易庭裁定108年度鳳秩字第87號,2019/8/15,高雄市政府警察局鳳山分局,2019/8/6,2019/7/19,,臉書,災害謠言,奇怪了我的天、昨天我的王老師預言為什麼會被刪文呢、還有奇奇怪怪的人來留言、水進的來、車過不去、高雄淹大水,罰,2000元,
臺灣高雄地方法院高雄簡易庭裁定108年度雄秩字第194號,2019/8/16,高雄市政府警察局三民第二分局,2019/7/29,2019/7/29,,電話,施政謠言,政府最近向美國採購已服役三、四十年遭淘汰之戰車,不罰,,並無足以影響公共安寧
臺灣新北地方法院三重簡易庭裁定108年度重秩字第87號,2019/8/22,新北市政府警察局林口分局,2019/6/20,2019/6/1,,Dcard,社會案件,最近泰山貴和站附近騎樓半夜有個瘋子會隨機砍人、半夜不要單獨一個人走在那邊的騎樓、有學生昨天被劃傷20刀、目前已經報警、但那裡很暗而且沒有攝像頭、所以暫時沒有下文、可能還再犯、犯人目測182上下戴口罩帽踢、各位明志學生真的要小心！,罰,共4500元,
臺灣臺南地方法院裁定108年度南秩字第102號,2019/8/26,臺南市政府警察局第四分局,2019/8/21,2019/7/22,,臉書,政治人物謠言,另一個是綠營陳亭妃，地下阿娜答是議長郭信良，傳聞黑道背景，欠債不還，妹妹陳怡珍跟著背叛跑票,不罰,,不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣橋頭地方法院橋頭簡易庭裁定108年度橋秩字第69號,2019/8/27,高雄市政府警察局左營分局,2019/8/6,2019/6/21,,臉書,施政謠言,不怕，小英政府已備妥水柱，可以好好對付人民。才不像香港政府這麼不中用,不罰,,難認定是故意散播不實事實
臺灣新北地方法院板橋簡易庭裁定108年度板秩字第234號,2019/8/27,新北市政府警察局中和分局,2019/8/20,2019/7/13,,PTT,社會案件,太平洋最猛緝毒，軍人風浪中跳潛艇,罰,1000元,
臺灣臺中地方法院裁定108年度中秩字第170號,2019/8/27,臺中市政府警察局第四分局,2019/8/19,2019/7/22,,臉書,政治人物謠言,徐國勇：韓國瑜連下雨的淹水不會處理所以他不配當高雄市長。,不罰,,難認定是故意散播不實事實，不足以使聽聞者產生畏懼或恐慌之負面心理
臺灣臺中地方法院裁定108年度中秩字第167號,2019/8/27,臺中市政府警察局第四分局,2019/8/15,2019/8/15,,臉書,災害謠言,為什麼台中豪雨的時候都不停班停課..難道不知道很危險嗎..,不罰,,非故意散發傳布虛偽事實，不足以使聽聞者產生畏懼或恐慌之負面心理
